Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-1_Oct_equiv,D842,4195.886856,26.08953522,397.8152953,1.583326729,854.3787044,1.911846375,0.157882411,0.171829972,0.126757738,0.082922094,1.331326578,1.117383182,0.009405171,1.020132472,0,0.003424747,0,1201.3,-6.704,57.129,123
Age-1_Oct_equiv,D726,3384.984306,26.15595361,354.8782223,4.877952921,1439.019881,1.389969568,0.125000436,0.183088563,0.146966385,0.061561363,0.746983017,1.481076548,0.043247661,1.018678285,0,0,0.00970075,872.06,-7.352,58.262,124
Age-1_Oct_equiv,D522,3128.391646,18.55486459,132.3657627,1.795285373,1543.008948,1.958787677,0.176338593,0.132859172,0.131802267,0.064592943,0.899674445,1.260613335,0,1.018795406,0,0.002331329,0,830.84,-6.704,57.129,123
Age-1_Oct_equiv,D852,3455.984137,27.02624894,273.1101566,1.878832524,1427.895456,2.198193727,0.578741512,0.156892876,0.130019417,0.183361248,1.218047792,1.444060029,0,1,0,0.002601225,0.014441707,767.82,-6.704,57.129,123
Age-1_Oct_equiv,D1042,3644.63363,25.90985846,196.151157,15.75722131,705.4028655,1.159594258,0.666459806,0.105732488,0.403515767,0.090297785,0.716294786,1.545524575,0.078908751,1.003802475,0,0.000369927,0.012956646,713.84,-5.419,58.673,127
Age-1_Oct_equiv,D2225,3178.982667,25.98237168,162.7485368,10.56686709,1633.037849,7.026064035,0.313661615,0.214576538,0.523450209,0.108603614,0.951832345,1.549966233,0,1.028996667,0.102927676,0.001439955,0,722.4,-3.711,54.273,135
Age-1_Oct_equiv,D421,3456.330686,28.0185116,265.4805201,1.821509996,1414.266414,14.84501575,0.440900564,0.173428197,0.218841723,0.053248351,1.004438654,1.407205104,0.235395189,1,0,0.000425539,0.748707687,1018.21,-6.761,56.188,122
Age-1_Oct_equiv,D694,3619.250121,24.5535246,255.5368629,1.48942823,1068.971292,1.587552163,0.402327588,0.117964697,0.333782865,0.054077641,0.933650808,1.254205936,0.228567395,1.022142926,0.110518844,0.002246428,0.003030114,844.33,-7.352,58.262,124
Age-1_Oct_equiv,D1819,3433.280104,26.70382872,241.9123209,3.751588528,1741.04752,31.61343572,0.612273187,0.12020227,0.256804918,0.088826947,0.828237216,1.619195341,0.324430459,1.050308028,0,0.003595277,0.007479558,537.37,-5.69,53.626,136
Age-1_Oct_equiv,D2312,3456.352496,28.05688708,141.8372302,1.295273427,1150.655321,5.508334858,0.515402015,0.195642882,0.380183647,0.072978196,0.926815259,1.405416036,43.05855072,1.003872656,0.033418693,0.002473283,0,582.65,-5.69,53.626,136
Age-1_Oct_equiv,D1794,3504.431868,23.07363783,292.8729526,2.686672986,1821.536328,2.222493567,0.331165526,0.18094466,0.237480211,0.111534013,0.923477304,1.203345529,0.191203472,1.008100872,0.101426968,0.000708732,0.010473985,678.35,-5.69,53.626,136
Age-1_Oct_equiv,D244,3432.686563,25.67736559,317.3361815,4.900679368,1573.788466,14.64848296,0.401960153,0.141737207,0.397686773,0.079417164,1.239796181,1.334755611,0,1,4.48255226,0.007030665,0.016855445,478.76,-5.223,55.414,121
Age-1_Oct_equiv,D1088,3214.615446,19.2543689,261.6102267,0.76449276,1643.994524,2.465428561,0.190859766,0.092534281,0.351294031,0.042214412,0.971831586,1.347258179,0,1,0,0.00594306,0.001082057,1355.65,-5.419,58.673,127
Age-1_Oct_equiv,D1826,3333.803011,20.61331248,188.5307809,2.434311234,1163.760551,2.855131462,0.158527642,0.126735423,0.37934959,0.072057527,0.593167623,1.39963928,2.955472522,1.019255505,0.143350234,0.001699375,0,454.03,-5.69,53.626,136
Age-1_Oct_equiv,D2247,3416.865157,27.70993989,169.7573185,18.14510668,1878.178467,6.926325615,0.830873533,0.18296919,0.353271604,0.017245807,1.014784379,1.484401762,0.324026963,1.027665309,0.068094451,0.004239467,0,620.3,-3.711,54.273,135
Age-1_Oct_equiv,D2261,4295.301174,26.38188524,350.3250819,16.72489026,219.6264696,8.398372647,0.217018097,0.142027352,0.060808371,0.050109185,0.938733925,1.510744212,0,1,0,0.001249354,0,782.88,-3.711,54.273,135
Age-1_Oct_equiv,D983,3384.512223,26.48733324,160.9505137,2.447172564,1344.533004,11.71759785,0.293154797,0.184647173,0.113340825,0.072918086,0.952478404,1.479281221,0,1.020158315,0.023903991,0.005747812,0,417.6,-3.763,53.482,126
Age-1_Oct_equiv,D691,3456.203107,23.30799784,223.1773986,1.796358387,1091.422092,1.525195394,0.402253414,0.094997692,0.311563915,0.087611225,1.009333063,1.570942107,0.420236431,1.018302835,0.095829412,0.003817973,0.001861535,755.84,-7.352,58.262,124
Age-1_Oct_equiv,D2215,3530.588018,27.76971778,435.4889765,2.357737147,811.6775289,7.064259718,0.187631126,0.142547249,0.064550265,0.049141066,1.047927509,1.555753071,0,1.032553924,0.045532822,0,0,581.16,-3.711,54.273,135
Age-1_Oct_equiv,D289,3527.120131,32.76358134,393.8799087,5.705162349,2031.312783,4.004586913,0.474932998,0.182641269,0.230606172,0.071707353,0.762693339,1.25595419,0.009694459,1.013211777,0,0.010202228,0.009170563,879.86,-5.223,55.414,121
Age-1_Oct_equiv,D2256,4016.528532,32.42465829,297.058504,6.915077733,1687.894805,27.09815356,0.417204449,0.669920221,3.040464649,0.305313082,0.928186681,1.370055123,0.217513327,1.01317625,0,0,0.008908133,528.41,-3.711,54.273,135
Age-1_Oct_equiv,D203,3517.539205,21.35212579,115.1453231,7.46636284,1961.43537,3.273294119,0.195172723,0.213851045,0.426878874,0.064159355,1.047632356,1.272973034,0.763090631,1,0.305298313,0.002453806,0,689.17,-5.223,55.414,121
Age-1_Oct_equiv,D112,3281.867498,19.23576577,352.5961063,0.903306064,1212.378672,3.407393123,0.354254077,0.109873789,0.325490513,0.088092548,1.035951319,1.396068015,0.254431182,1.011586185,0.005099252,0.000700717,0,798.81,-5.89,58.005,117
Age-1_Oct_equiv,D675,3170.11437,24.55471498,327.9275693,3.627171989,1240.313297,1.233550797,0.360579458,0.233481726,0.468228239,0.103069127,1.000515983,1.260954412,0.411151446,1.027420732,0,0.00357071,0.002200994,804.13,-7.352,58.262,124
Age-1_Oct_equiv,D817,3274.005509,27.90451346,313.8441084,2.877911007,1192.436047,2.189952863,0.314241187,0.253382825,0.896943247,0.154505332,1.250580769,1.244648875,0.509488056,1.00909423,0,0.002806918,0,799.96,-6.704,57.129,123
Age-1_Oct_equiv,D395,3149.234072,22.64809214,219.5646359,2.525393725,2591.939958,3.078533694,0.134197706,0.165179218,0.190166407,0.055007964,0.717168156,1.50217194,0,1.025738303,0,0.002786674,0,911.42,-6.761,56.188,122
Age-1_Oct_equiv,D209,3411.116784,24.91435563,456.4540227,6.867814719,1287.233947,11.89559781,0.152595737,0.147976315,0.277406136,0.079336925,0.587480094,1.364457487,0,1.016232235,0,0.003045059,0.000921102,691.1,-5.223,55.414,121
Age-1_Oct_equiv,D406,2348.257359,18.47784733,180.0284756,10.01405698,2449.193446,1.490977923,0.105908179,0.157006871,0.204878625,0.032914162,1.000788308,1.16176373,0,1.012404735,0,0.001172253,0,1276.39,-6.761,56.188,122
Age-1_Oct_equiv,D121,3505.03533,23.36312002,399.9319655,3.751238856,1341.716957,5.330911293,0.21382788,0.163983364,0.374294336,0.114344815,1.011898596,1.370847597,0,1.023081051,0.00598986,0.001142403,0.001750547,617.62,-5.89,58.005,117
Age-1_Oct_equiv,D590,3208.936961,29.14073163,241.8003337,23.72159396,2019.017923,11.06385327,0.449047421,0.163434969,0.512904866,0.090644853,0.805569023,3.278885853,0.146771153,1.029497279,0.042281862,0.001480295,0.010952857,467.52,-8.683,57.309,118
Age-1_Oct_equiv,D279,3074.185317,26.1843689,284.2802452,8.487004833,1822.279109,12.88314771,0.151899185,0.144435404,0.594616271,0.076201873,0.809842275,1.417603583,0,1.017499731,0.037334233,0.001159345,0.012417692,625.87,-5.223,55.414,121
Age-1_Oct_equiv,D757,3411.44644,27.98296742,281.6552454,1.681287592,1255.502324,1.636403548,0.250878292,0.232174063,3.805480852,0.133336112,0.915067085,1.365535459,0.760251317,1.000414382,0.155636619,0.000273329,0.011373005,970.43,-6.704,57.129,123
